# object_id           type   color   comment  
  40959174661653033   99     0       none     
  40959178956623494   99     0       none     
  40959307805646594   99     0       none     
  40963985025025829   99     0       none     
  40963985025032304   99     0       none     
  40968928532384094   99     0       none     
  40972373096157699   99     0       none     
  40972510535114387   99     0       none     
  40972647974066065   99     0       none     
  40972776823092330   99     0       none     
  40976762552737637   99     0       none     
  40976771142666010   99     0       none     
  40976895696731474   99     0       none     
  40976895696731475   99     0       none     
  40977316603524870   99     0       none     
  40977320898485400   99     0       none     
  40977449747508363   99     0       none     
  40977728920374553   99     0       none     
  40981023160295835   99     0       none     
  40981023160297533   99     0       none     
  40981134829442057   99     0       none     
  40981139124406540   99     0       none     
  40981143419377137   99     0       none     
  40981160599245816   99     0       none     
  40981272268396388   99     0       none     
  40981285153299733   99     0       none     
  40981285153303869   99     0       none     
  40981293743233212   99     0       none     
  40981298038202388   99     0       none     
  40981298038204433   99     0       none     
  40981306628136532   99     0       none     
  40981572916114898   99     0       none     
  40981577211084251   99     0       none     
  40981693175187790   99     0       none     
  40981714650036674   99     0       none     
  40981834909114303   99     0       none     
  40981856383947473   99     0       none     
  40981985232974139   99     0       none     
  40981989527941033   99     0       none     
  40985404026931678   99     0       none     
  40985408321907447   99     0       none     
  40985412616876590   99     0       none     
  40985532875954441   99     0       none     
  40985550055821861   99     0       none     
  40985550055826024   99     0       none     
  40985554350788017   99     0       none     
  40985554350798003   99     0       none     
  40985562940729589   99     0       none     
  40985562940729906   99     0       none     
  40985683199812380   99     0       none     
  40985687494779478   99     0       none     
  40985687494783016   99     0       none     
  40985820638760660   99     0       none     
  40985820638765375   99     0       none     
  40985833523666237   99     0       none     
  40985837818630744   99     0       none     
  40985949487780516   99     0       none     
  40985949487784751   99     0       none     
  40985953782754569   99     0       none     
  40985962372682094   99     0       none     
  40985962372683913   99     0       none     
  40985962372685053   99     0       none     
  40985970962621418   99     0       none     
  40986091221700424   99     0       none     
  40986108401570915   99     0       none     
  40986224365685124   99     0       none     
  40986237250592537   99     0       none     
  40986237250598260   99     0       none     
  40986241545560310   99     0       none     
  40986361804643419   99     0       none     
  40986361804643948   99     0       none     
  40986361804643949   99     0       none     
  40986374689550162   99     0       none     
  40986383279483628   99     0       none     
  40986512128496693   99     0       none     
  40989935217430560   99     0       none     
  40990231570173860   99     0       none     
  40990484973240222   99     0       none     
  40990484973248626   99     0       none     
  40990489268216550   99     0       none     
  40990515038016247   99     0       none     
  40990631002137163   99     0       none     
  40990643887033464   99     0       none     
  40990764146119001   99     0       none     
  40990764146121039   99     0       none     
  40990768441083479   99     0       none     
  40990768441092190   99     0       none     
  40990777031022505   99     0       none     
  40990785620963390   99     0       none     
  40990789915923772   99     0       none     
  40990897290110878   99     0       none     
  40990905880041483   99     0       none     
  40990910175008001   99     0       none     
  40994633911656190   99     0       none     
  40994638206619504   99     0       none     
  40995162192630230   99     0       none     
  40995175077528922   99     0       none     
  40995299631584788   99     0       none     
  41099766121129175   99     0       none     
  41099766121129410   99     0       none     
